Date,Time,DredgeRunning,VELOCITY,DENSITY,cutter_hp,cutter_rpm,cutter_torque,ladder_motor_hp,ladder_motor_rpm,ladder_motor_torque,port_swing_hp,port_swing_linespeed,port_swing_motor_torque,stbd_swing_hp,stbd_swing_linespeed,stbd_swing_motor_torque,UWP_HP,uwp_rpm,uwp_motor_torque,main_engine_1_pump_rpm,me_1_rpm,MAIN_ENGINE_1_CAPACITY,main_engine_2_pump_rpm,me_2_rpm,MAIN_ENGINE_2_CAPACITY,GEN1_LOAD,GEN2_LOAD,GEN3_LOAD,UWP_SUCTION_PRESS,UWP_DISC_PRESS,MP_1_DISC_PRESS,MP_2_DISC_PRESS,carriage_location_x10,stationary_spud_press,walking_spud_press,cutter_depth_below_water,draft,ladder_linepull,port_swing_linepull,PORT_SWING_DRUM_LEVEL_PORT,PORT_SWING_DRUM_LEVEL_STBD,stbd_swing_linepull,STBD_SWING_DRUM_LEVEL_PORT,STBD_SWING_DRUM_LEVEL_STBD,SRV_SOLENOID
2020/01/03,00:00:00,-1,21.715,1.0013,69,32.217,11376,0,2,0,0,0,1,0,0,0,973,269,19066,345,994,77.963,354,992,90.935,-27.455,-27.453,-27.468,1.2662,18.705,139.47,279.27,5,972,106,45.473,9.6926,0,73,23.848,1.5349,37,1.9698,1.1982,0
2020/01/03,00:00:10,-1,21.734,1.0013,84,32.247,13719,0,0,2,-1,7,119,25,18,844,962,269,18796,330,969,69.931,340,954,81.911,-27.455,-27.453,-27.465,1.5387,19.211,130.43,259.66,5,1036,106,45.485,9.6938,0,3992,23.848,1.6746,33911,2.1344,1.1159,0
2020/01/03,00:00:20,-1,21.679,1.0013,138,32.276,22581,0,0,1,-5,-47,80,46,23,1227,980,269,19144,327,944,69.824,337,944,81.558,-27.455,-27.455,-27.465,1.0016,18.808,128.24,254.91,6,914,119,45.56,9.713,0,3992,23.848,1.51,24865,1.7968,16.24,0
2020/01/03,00:00:30,-1,21.541,1.0013,159,32.158,25977,0,0,1,4,6,382,11,29,247,996,269,19582,329,939,69.47,338,944,80.995,-27.455,-27.455,-27.465,0.0759,17.387,127.52,255.06,15,885,109,45.504,9.7083,51,35522,23.848,1.559,17322,1.8218,1.1325,0
2020/01/03,00:00:40,-1,21.367,1.0013,252,32.335,41122,0,0,0,-7,-59,75,44,44,605,1002,269,19570,328,939,71.268,337,945,81.102,-27.455,-27.455,-27.465,0.24785,17.543,130.51,259.47,15,890,106,45.542,9.7057,0,3882,23.848,1.1566,31237,1.855,16.265,0
2020/01/03,00:00:50,-1,21.155,1.0173,232,32.276,37726,0,0,0,-7,-8,547,23,44,331,983,269,19380,328,939,73.804,338,945,84.836,-27.455,-27.455,-27.465,-0.62226,16.939,129.98,261.37,12,810,82,45.465,9.6838,51,25488,23.848,0.72098,21643,1.929,16.24,0
2020/01/03,00:01:00,-1,21.045,1.0359,247,32.099,40477,0,0,1112,-14,-55,186,28,44,395,1029,269,20109,329,942,71.443,338,945,81.983,-27.455,-27.455,-27.465,-0.7168,17.138,130.17,260.93,12,786,81,45.583,9.669,61830,12707,23.848,0.76255,20068,1.7644,1.1733,0
2020/01/03,00:01:10,-1,20.916,1.0324,263,32.306,42956,0,0,1,-5,-49,74,45,46,608,1005,269,19638,328,942,75.884,336,946,87.34,-27.455,-27.455,-27.465,-1.6302,15.98,130.25,262.48,12,779,82,45.593,9.6588,0,3918,23.848,0.77086,33142,1.8958,1.2473,0
2020/01/03,00:01:20,-1,20.815,1.0562,250,32.188,42039,0,2,0,-10,-76,81,134,51,496,1008,269,19694,328,942,76.344,338,946,82.899,-27.455,-27.455,-27.468,-0.23929,16.951,132.84,263.13,12,775,82,45.56,9.6528,0,3918,23.848,0.83654,79723,1.9781,1.3869,0
2020/01/03,00:01:30,-1,20.732,1.073,232,32.158,37998,0,0,0,-9,-28,206,31,46,423,1006,269,19649,330,942,75.356,339,944,86.035,-27.455,-27.455,-27.465,-1.4667,16.043,131.22,263.43,12,771,84,45.54,9.6539,0,9082,23.848,0.87728,21020,1.8218,12.289,0
